run_id,pair_id,architecture,seed,withdrawal_time_ticks,horizon_days,branch,territorial_retention,formation_survival_fraction,casualty_ratio,mean_formation_readiness,composite_capability,organic_personnel_reserve,recruit_graduation_throughput,indigenous_supply_delivered,unassisted_command_reliability,autonomy_ratio,performance_delta,substitution_index,decay_rate,air_cost,logistics_cost,command_cost,force_gen_cost,total_cost,discounted_cost,omega_manpower,omega_firepower,omega_logistics,omega_command,omega_min,omega_mean,omega_geo
substitution_heavy_s102_h30_SUPPORT_ON,substitution_heavy_s102_h30,substitution_heavy,102,60,30,SUPPORT_ON,0.8572,0.8637,1.7673,0.8401,0.8707,1200.0,5.0,150.0,0.26,0.7383,0.2279,0.7,0.015,250000.0,200000.0,10000.0,40000.0,500000.0,493873.88,0.45,1.2,0.5,0.4,0.4,0.637,0.573
substitution_heavy_s102_h30_SUPPORT_OFF,substitution_heavy_s102_h30,substitution_heavy,102,60,30,SUPPORT_OFF,0.6407,0.6586,1.3572,0.6464,0.6429,1200.0,5.0,150.0,0.26,0.7383,0.2279,0.7,0.015,166666.66666666666,133333.3333333333,6666.666666666666,26666.666666666664,333333.33,329249.25,0.45,1.2,0.5,0.4,0.4,0.637,0.573
substitution_heavy_s102_h90_SUPPORT_ON,substitution_heavy_s102_h90,substitution_heavy,102,60,90,SUPPORT_ON,0.8706,0.8764,1.7927,0.8521,0.8848,1200.0,5.0,150.0,0.26,0.449,0.4875,0.7,0.015,250000.0,200000.0,10000.0,40000.0,500000.0,489831.55,0.45,1.2,0.5,0.4,0.4,0.637,0.573
substitution_heavy_s102_h90_SUPPORT_OFF,substitution_heavy_s102_h90,substitution_heavy,102,60,90,SUPPORT_OFF,0.4075,0.4376,0.9152,0.4377,0.3973,1200.0,5.0,150.0,0.26,0.449,0.4875,0.7,0.015,100000.0,80000.0,4000.0,16000.0,200000.0,195932.62,0.45,1.2,0.5,0.4,0.4,0.637,0.573
substitution_heavy_s102_h180_SUPPORT_ON,substitution_heavy_s102_h180,substitution_heavy,102,60,180,SUPPORT_ON,0.8332,0.841,1.7219,0.8187,0.8455,1200.0,5.0,150.0,0.26,0.3371,0.5605,0.7,0.015,250000.0,200000.0,10000.0,40000.0,500000.0,483830.02,0.45,1.2,0.5,0.4,0.4,0.637,0.573
substitution_heavy_s102_h180_SUPPORT_OFF,substitution_heavy_s102_h180,substitution_heavy,102,60,180,SUPPORT_OFF,0.3007,0.3365,0.713,0.3422,0.285,1200.0,5.0,150.0,0.26,0.3371,0.5605,0.7,0.015,62500.0,50000.0,2500.0,10000.0,125000.0,120957.5,0.45,1.2,0.5,0.4,0.4,0.637,0.573
substitution_heavy_s103_h7_SUPPORT_ON,substitution_heavy_s103_h7,substitution_heavy,103,60,7,SUPPORT_ON,0.8468,0.8538,1.7475,0.8308,0.8597,1200.0,5.0,150.0,0.26,0.9357,0.0553,0.7,0.015,250000.0,200000.0,10000.0,40000.0,500000.0,495432.27,0.45,1.2,0.5,0.4,0.4,0.637,0.573
substitution_heavy_s103_h7_SUPPORT_OFF,substitution_heavy_s103_h7,substitution_heavy,103,60,7,SUPPORT_OFF,0.7942,0.804,1.648,0.7838,0.8045,1200.0,5.0,150.0,0.26,0.9357,0.0553,0.7,0.015,223880.59701492538,179104.4776119403,8955.223880597016,35820.89552238806,447761.19,443670.69,0.45,1.2,0.5,0.4,0.4,0.637,0.573
substitution_heavy_s103_h30_SUPPORT_ON,substitution_heavy_s103_h30,substitution_heavy,103,60,30,SUPPORT_ON,0.8487,0.8557,1.7513,0.8326,0.8618,1200.0,5.0,150.0,0.26,0.7218,0.2398,0.7,0.015,250000.0,200000.0,10000.0,40000.0,500000.0,493873.88,0.45,1.2,0.5,0.4,0.4,0.637,0.573
substitution_heavy_s103_h30_SUPPORT_OFF,substitution_heavy_s103_h30,substitution_heavy,103,60,30,SUPPORT_OFF,0.6209,0.6398,1.3197,0.6287,0.622,1200.0,5.0,150.0,0.26,0.7218,0.2398,0.7,0.015,166666.66666666666,133333.3333333333,6666.666666666666,26666.666666666664,333333.33,329249.25,0.45,1.2,0.5,0.4,0.4,0.637,0.573
substitution_heavy_s103_h90_SUPPORT_ON,substitution_heavy_s103_h90,substitution_heavy,103,60,90,SUPPORT_ON,0.8938,0.8984,1.8368,0.8729,0.9093,1200.0,5.0,150.0,0.26,0.4777,0.4749,0.7,0.015,250000.0,200000.0,10000.0,40000.0,500000.0,489831.55,0.45,1.2,0.5,0.4,0.4,0.637,0.573
substitution_heavy_s103_h90_SUPPORT_OFF,substitution_heavy_s103_h90,substitution_heavy,103,60,90,SUPPORT_OFF,0.4427,0.471,0.982,0.4693,0.4344,1200.0,5.0,150.0,0.26,0.4777,0.4749,0.7,0.015,100000.0,80000.0,4000.0,16000.0,200000.0,195932.62,0.45,1.2,0.5,0.4,0.4,0.637,0.573
substitution_heavy_s103_h180_SUPPORT_ON,substitution_heavy_s103_h180,substitution_heavy,103,60,180,SUPPORT_ON,0.8673,0.8732,1.7864,0.8491,0.8814,1200.0,5.0,150.0,0.26,0.3228,0.5969,0.7,0.015,250000.0,200000.0,10000.0,40000.0,500000.0,483830.02,0.45,1.2,0.5,0.4,0.4,0.637,0.573
substitution_heavy_s103_h180_SUPPORT_OFF,substitution_heavy_s103_h180,substitution_heavy,103,60,180,SUPPORT_OFF,0.3003,0.336,0.7121,0.3418,0.2845,1200.0,5.0,150.0,0.26,0.3228,0.5969,0.7,0.015,62500.0,50000.0,2500.0,10000.0,125000.0,120957.5,0.45,1.2,0.5,0.4,0.4,0.637,0.573
substitution_heavy_s104_h7_SUPPORT_ON,substitution_heavy_s104_h7,substitution_heavy,104,60,7,SUPPORT_ON,0.8557,0.8622,1.7644,0.8387,0.8691,1200.0,5.0,150.0,0.26,0.9321,0.059,0.7,0.015,250000.0,200000.0,10000.0,40000.0,500000.0,495432.27,0.45,1.2,0.5,0.4,0.4,0.637,0.573
substitution_heavy_s104_h7_SUPPORT_OFF,substitution_heavy_s104_h7,substitution_heavy,104,60,7,SUPPORT_OFF,0.7996,0.8091,1.6582,0.7886,0.8101,1200.0,5.0,150.0,0.26,0.9321,0.059,0.7,0.015,223880.59701492538,179104.4776119403,8955.223880597016,35820.89552238806,447761.19,443670.69,0.45,1.2,0.5,0.4,0.4,0.637,0.573
substitution_heavy_s104_h30_SUPPORT_ON,substitution_heavy_s104_h30,substitution_heavy,104,60,30,SUPPORT_ON,0.8441,0.8513,1.7426,0.8284,0.857,1200.0,5.0,150.0,0.26,0.7529,0.2117,0.7,0.015,250000.0,200000.0,10000.0,40000.0,500000.0,493873.88,0.45,1.2,0.5,0.4,0.4,0.637,0.573
substitution_heavy_s104_h30_SUPPORT_OFF,substitution_heavy_s104_h30,substitution_heavy,104,60,30,SUPPORT_OFF,0.643,0.6607,1.3614,0.6484,0.6452,1200.0,5.0,150.0,0.26,0.7529,0.2117,0.7,0.015,166666.66666666666,133333.3333333333,6666.666666666666,26666.666666666664,333333.33,329249.25,0.45,1.2,0.5,0.4,0.4,0.637,0.573
substitution_heavy_s104_h90_SUPPORT_ON,substitution_heavy_s104_h90,substitution_heavy,104,60,90,SUPPORT_ON,0.8546,0.8612,1.7624,0.8378,0.868,1200.0,5.0,150.0,0.26,0.4764,0.4545,0.7,0.015,250000.0,200000.0,10000.0,40000.0,500000.0,489831.55,0.45,1.2,0.5,0.4,0.4,0.637,0.573
substitution_heavy_s104_h90_SUPPORT_OFF,substitution_heavy_s104_h90,substitution_heavy,104,60,90,SUPPORT_OFF,0.4229,0.4522,0.9444,0.4515,0.4135,1200.0,5.0,150.0,0.26,0.4764,0.4545,0.7,0.015,100000.0,80000.0,4000.0,16000.0,200000.0,195932.62,0.45,1.2,0.5,0.4,0.4,0.637,0.573
substitution_heavy_s104_h180_SUPPORT_ON,substitution_heavy_s104_h180,substitution_heavy,104,60,180,SUPPORT_ON,0.8546,0.8612,1.7623,0.8378,0.868,1200.0,5.0,150.0,0.26,0.3791,0.539,0.7,0.015,250000.0,200000.0,10000.0,40000.0,500000.0,483830.02,0.45,1.2,0.5,0.4,0.4,0.637,0.573
substitution_heavy_s104_h180_SUPPORT_OFF,substitution_heavy_s104_h180,substitution_heavy,104,60,180,SUPPORT_OFF,0.3426,0.3761,0.7922,0.3797,0.329,1200.0,5.0,150.0,0.26,0.3791,0.539,0.7,0.015,62500.0,50000.0,2500.0,10000.0,125000.0,120957.5,0.45,1.2,0.5,0.4,0.4,0.637,0.573
capacity_heavy_s101_h7_SUPPORT_ON,capacity_heavy_s101_h7,capacity_heavy,101,60,7,SUPPORT_ON,0.7327,0.7458,1.5315,0.7288,0.7397,400.0,35.0,750.0,0.715,0.9734,0.0197,0.25,0.003,50000.0,80000.0,150000.0,220000.0,500000.0,495432.27,1.3,0.7,0.9,1.1,0.7,1.0,0.974
capacity_heavy_s101_h7_SUPPORT_OFF,capacity_heavy_s101_h7,capacity_heavy,101,60,7,SUPPORT_OFF,0.714,0.728,1.496,0.712,0.72,400.0,35.0,750.0,0.715,0.9734,0.0197,0.25,0.003,44776.119402985074,71641.79104477612,134328.35820895524,197014.92537313435,447761.19,443670.69,1.3,0.7,0.9,1.1,0.7,1.0,0.974
capacity_heavy_s101_h30_SUPPORT_ON,capacity_heavy_s101_h30,capacity_heavy,101,60,30,SUPPORT_ON,0.7486,0.7608,1.5616,0.743,0.7565,400.0,35.0,750.0,0.715,0.9543,0.0346,0.25,0.003,50000.0,80000.0,150000.0,220000.0,500000.0,493873.88,1.3,0.7,0.9,1.1,0.7,1.0,0.974
capacity_heavy_s101_h30_SUPPORT_OFF,capacity_heavy_s101_h30,capacity_heavy,101,60,30,SUPPORT_OFF,0.7158,0.7297,1.4994,0.7136,0.7219,400.0,35.0,750.0,0.715,0.9543,0.0346,0.25,0.003,33333.33333333333,53333.33333333333,100000.0,146666.66666666666,333333.33,329249.25,1.3,0.7,0.9,1.1,0.7,1.0,0.974
capacity_heavy_s101_h90_SUPPORT_ON,capacity_heavy_s101_h90,capacity_heavy,101,60,90,SUPPORT_ON,0.737,0.7498,1.5395,0.7326,0.7442,400.0,35.0,750.0,0.715,0.9013,0.0734,0.25,0.003,50000.0,80000.0,150000.0,220000.0,500000.0,489831.55,1.3,0.7,0.9,1.1,0.7,1.0,0.974
capacity_heavy_s101_h90_SUPPORT_OFF,capacity_heavy_s101_h90,capacity_heavy,101,60,90,SUPPORT_OFF,0.6672,0.6837,1.4074,0.6701,0.6708,400.0,35.0,750.0,0.715,0.9013,0.0734,0.25,0.003,20000.0,32000.0,60000.0,88000.0,200000.0,195932.62,1.3,0.7,0.9,1.1,0.7,1.0,0.974
capacity_heavy_s101_h180_SUPPORT_ON,capacity_heavy_s101_h180,capacity_heavy,101,60,180,SUPPORT_ON,0.7078,0.7221,1.4842,0.7064,0.7134,400.0,35.0,750.0,0.715,0.8998,0.0715,0.25,0.003,50000.0,80000.0,150000.0,220000.0,500000.0,483830.02,1.3,0.7,0.9,1.1,0.7,1.0,0.974
capacity_heavy_s101_h180_SUPPORT_OFF,capacity_heavy_s101_h180,capacity_heavy,101,60,180,SUPPORT_OFF,0.6399,0.6578,1.3555,0.6457,0.642,400.0,35.0,750.0,0.715,0.8998,0.0715,0.25,0.003,12500.0,20000.0,37500.0,55000.0,125000.0,120957.5,1.3,0.7,0.9,1.1,0.7,1.0,0.974
capacity_heavy_s102_h7_SUPPORT_ON,capacity_heavy_s102_h7,capacity_heavy,102,60,7,SUPPORT_ON,0.747,0.7593,1.5586,0.7416,0.7548,400.0,35.0,750.0,0.715,0.9982,0.0014,0.25,0.003,50000.0,80000.0,150000.0,220000.0,500000.0,495432.27,1.3,0.7,0.9,1.1,0.7,1.0,0.974
capacity_heavy_s102_h7_SUPPORT_OFF,capacity_heavy_s102_h7,capacity_heavy,102,60,7,SUPPORT_OFF,0.7457,0.7581,1.5562,0.7404,0.7534,400.0,35.0,750.0,0.715,0.9982,0.0014,0.25,0.003,44776.119402985074,71641.79104477612,134328.35820895524,197014.92537313435,447761.19,443670.69,1.3,0.7,0.9,1.1,0.7,1.0,0.974
capacity_heavy_s102_h30_SUPPORT_ON,capacity_heavy_s102_h30,capacity_heavy,102,60,30,SUPPORT_ON,0.7308,0.7439,1.5278,0.727,0.7377,400.0,35.0,750.0,0.715,0.9724,0.0204,0.25,0.003,50000.0,80000.0,150000.0,220000.0,500000.0,493873.88,1.3,0.7,0.9,1.1,0.7,1.0,0.974
capacity_heavy_s102_h30_SUPPORT_OFF,capacity_heavy_s102_h30,capacity_heavy,102,60,30,SUPPORT_OFF,0.7114,0.7256,1.4911,0.7097,0.7173,400.0,35.0,750.0,0.715,0.9724,0.0204,0.25,0.003,33333.33333333333,53333.33333333333,100000.0,146666.66666666666,333333.33,329249.25,1.3,0.7,0.9,1.1,0.7,1.0,0.974
capacity_heavy_s102_h90_SUPPORT_ON,capacity_heavy_s102_h90,capacity_heavy,102,60,90,SUPPORT_ON,0.7049,0.7194,1.4788,0.7039,0.7104,400.0,35.0,750.0,0.715,0.9256,0.0528,0.25,0.003,50000.0,80000.0,150000.0,220000.0,500000.0,489831.55,1.3,0.7,0.9,1.1,0.7,1.0,0.974
capacity_heavy_s102_h90_SUPPORT_OFF,capacity_heavy_s102_h90,capacity_heavy,102,60,90,SUPPORT_OFF,0.6547,0.6718,1.3837,0.659,0.6576,400.0,35.0,750.0,0.715,0.9256,0.0528,0.25,0.003,20000.0,32000.0,60000.0,88000.0,200000.0,195932.62,1.3,0.7,0.9,1.1,0.7,1.0,0.974
capacity_heavy_s102_h180_SUPPORT_ON,capacity_heavy_s102_h180,capacity_heavy,102,60,180,SUPPORT_ON,0.7242,0.7377,1.5154,0.7212,0.7308,400.0,35.0,750.0,0.715,0.9174,0.0604,0.25,0.003,50000.0,80000.0,150000.0,220000.0,500000.0,483830.02,1.3,0.7,0.9,1.1,0.7,1.0,0.974
capacity_heavy_s102_h180_SUPPORT_OFF,capacity_heavy_s102_h180,capacity_heavy,102,60,180,SUPPORT_OFF,0.6669,0.6834,1.4067,0.6699,0.6704,400.0,35.0,750.0,0.715,0.9174,0.0604,0.25,0.003,12500.0,20000.0,37500.0,55000.0,125000.0,120957.5,1.3,0.7,0.9,1.1,0.7,1.0,0.974
capacity_heavy_s103_h7_SUPPORT_ON,capacity_heavy_s103_h7,capacity_heavy,103,60,7,SUPPORT_ON,0.7395,0.7522,1.5444,0.7348,0.7469,400.0,35.0,750.0,0.715,0.9594,0.0303,0.25,0.003,50000.0,80000.0,150000.0,220000.0,500000.0,495432.27,1.3,0.7,0.9,1.1,0.7,1.0,0.974
capacity_heavy_s103_h7_SUPPORT_OFF,capacity_heavy_s103_h7,capacity_heavy,103,60,7,SUPPORT_OFF,0.7107,0.7249,1.4898,0.7091,0.7165,400.0,35.0,750.0,0.715,0.9594,0.0303,0.25,0.003,44776.119402985074,71641.79104477612,134328.35820895524,197014.92537313435,447761.19,443670.69,1.3,0.7,0.9,1.1,0.7,1.0,0.974
capacity_heavy_s103_h30_SUPPORT_ON,capacity_heavy_s103_h30,capacity_heavy,103,60,30,SUPPORT_ON,0.7392,0.7518,1.5437,0.7345,0.7465,400.0,35.0,750.0,0.715,0.9707,0.0218,0.25,0.003,50000.0,80000.0,150000.0,220000.0,500000.0,493873.88,1.3,0.7,0.9,1.1,0.7,1.0,0.974
capacity_heavy_s103_h30_SUPPORT_OFF,capacity_heavy_s103_h30,capacity_heavy,103,60,30,SUPPORT_OFF,0.7184,0.7322,1.5044,0.7159,0.7246,400.0,35.0,750.0,0.715,0.9707,0.0218,0.25,0.003,33333.33333333333,53333.33333333333,100000.0,146666.66666666666,333333.33,329249.25,1.3,0.7,0.9,1.1,0.7,1.0,0.974
capacity_heavy_s103_h90_SUPPORT_ON,capacity_heavy_s103_h90,capacity_heavy,103,60,90,SUPPORT_ON,0.7201,0.7338,1.5076,0.7175,0.7265,400.0,35.0,750.0,0.715,0.9535,0.0338,0.25,0.003,50000.0,80000.0,150000.0,220000.0,500000.0,489831.55,1.3,0.7,0.9,1.1,0.7,1.0,0.974
capacity_heavy_s103_h90_SUPPORT_OFF,capacity_heavy_s103_h90,capacity_heavy,103,60,90,SUPPORT_OFF,0.688,0.7034,1.4468,0.6888,0.6927,400.0,35.0,750.0,0.715,0.9535,0.0338,0.25,0.003,20000.0,32000.0,60000.0,88000.0,200000.0,195932.62,1.3,0.7,0.9,1.1,0.7,1.0,0.974
capacity_heavy_s103_h180_SUPPORT_ON,capacity_heavy_s103_h180,capacity_heavy,103,60,180,SUPPORT_ON,0.7526,0.7646,1.5691,0.7465,0.7606,400.0,35.0,750.0,0.715,0.9141,0.0654,0.25,0.003,50000.0,80000.0,150000.0,220000.0,500000.0,483830.02,1.3,0.7,0.9,1.1,0.7,1.0,0.974
capacity_heavy_s103_h180_SUPPORT_OFF,capacity_heavy_s103_h180,capacity_heavy,103,60,180,SUPPORT_OFF,0.6905,0.7057,1.4514,0.691,0.6952,400.0,35.0,750.0,0.715,0.9141,0.0654,0.25,0.003,12500.0,20000.0,37500.0,55000.0,125000.0,120957.5,1.3,0.7,0.9,1.1,0.7,1.0,0.974
capacity_heavy_s104_h7_SUPPORT_ON,capacity_heavy_s104_h7,capacity_heavy,104,60,7,SUPPORT_ON,0.7171,0.7309,1.5018,0.7147,0.7232,400.0,35.0,750.0,0.715,0.9884,0.0084,0.25,0.003,50000.0,80000.0,150000.0,220000.0,500000.0,495432.27,1.3,0.7,0.9,1.1,0.7,1.0,0.974
capacity_heavy_s104_h7_SUPPORT_OFF,capacity_heavy_s104_h7,capacity_heavy,104,60,7,SUPPORT_OFF,0.7091,0.7233,1.4867,0.7076,0.7148,400.0,35.0,750.0,0.715,0.9884,0.0084,0.25,0.003,44776.119402985074,71641.79104477612,134328.35820895524,197014.92537313435,447761.19,443670.69,1.3,0.7,0.9,1.1,0.7,1.0,0.974
capacity_heavy_s104_h30_SUPPORT_ON,capacity_heavy_s104_h30,capacity_heavy,104,60,30,SUPPORT_ON,0.7393,0.752,1.5439,0.7346,0.7466,400.0,35.0,750.0,0.715,0.9981,0.0014,0.25,0.003,50000.0,80000.0,150000.0,220000.0,500000.0,493873.88,1.3,0.7,0.9,1.1,0.7,1.0,0.974
capacity_heavy_s104_h30_SUPPORT_OFF,capacity_heavy_s104_h30,capacity_heavy,104,60,30,SUPPORT_OFF,0.7379,0.7507,1.5413,0.7334,0.7452,400.0,35.0,750.0,0.715,0.9981,0.0014,0.25,0.003,33333.33333333333,53333.33333333333,100000.0,146666.66666666666,333333.33,329249.25,1.3,0.7,0.9,1.1,0.7,1.0,0.974
capacity_heavy_s104_h90_SUPPORT_ON,capacity_heavy_s104_h90,capacity_heavy,104,60,90,SUPPORT_ON,0.7239,0.7374,1.5147,0.7209,0.7304,400.0,35.0,750.0,0.715,0.937,0.046,0.25,0.003,50000.0,80000.0,150000.0,220000.0,500000.0,489831.55,1.3,0.7,0.9,1.1,0.7,1.0,0.974
capacity_heavy_s104_h90_SUPPORT_OFF,capacity_heavy_s104_h90,capacity_heavy,104,60,90,SUPPORT_OFF,0.6802,0.696,1.432,0.6818,0.6844,400.0,35.0,750.0,0.715,0.937,0.046,0.25,0.003,20000.0,32000.0,60000.0,88000.0,200000.0,195932.62,1.3,0.7,0.9,1.1,0.7,1.0,0.974
capacity_heavy_s104_h180_SUPPORT_ON,capacity_heavy_s104_h180,capacity_heavy,104,60,180,SUPPORT_ON,0.712,0.7261,1.4922,0.7102,0.7179,400.0,35.0,750.0,0.715,0.8707,0.0928,0.25,0.003,50000.0,80000.0,150000.0,220000.0,500000.0,483830.02,1.3,0.7,0.9,1.1,0.7,1.0,0.974
capacity_heavy_s104_h180_SUPPORT_OFF,capacity_heavy_s104_h180,capacity_heavy,104,60,180,SUPPORT_OFF,0.6238,0.6425,1.3251,0.6313,0.625,400.0,35.0,750.0,0.715,0.8707,0.0928,0.25,0.003,12500.0,20000.0,37500.0,55000.0,125000.0,120957.5,1.3,0.7,0.9,1.1,0.7,1.0,0.974
bottleneck_targeted_s101_h7_SUPPORT_ON,bottleneck_targeted_s101_h7,bottleneck_targeted,101,60,7,SUPPORT_ON,0.8054,0.8146,1.6693,0.7938,0.8163,600.0,28.0,650.0,0.663,1.0153,-0.0125,0.35,0.004,90000.0,110000.0,130000.0,170000.0,500000.0,495432.27,1.05,1.0,1.1,1.02,1.0,1.042,1.042
bottleneck_targeted_s101_h7_SUPPORT_OFF,bottleneck_targeted_s101_h7,bottleneck_targeted,101,60,7,SUPPORT_OFF,0.8173,0.8258,1.6917,0.8044,0.8287,600.0,28.0,650.0,0.663,1.0153,-0.0125,0.35,0.004,80597.01492537314,98507.46268656717,116417.9104477612,152238.80597014926,447761.19,443670.69,1.05,1.0,1.1,1.02,1.0,1.042,1.042
bottleneck_targeted_s101_h30_SUPPORT_ON,bottleneck_targeted_s101_h30,bottleneck_targeted,101,60,30,SUPPORT_ON,0.7886,0.7987,1.6374,0.7788,0.7986,600.0,28.0,650.0,0.663,0.9793,0.0166,0.35,0.004,90000.0,110000.0,130000.0,170000.0,500000.0,493873.88,1.05,1.0,1.1,1.02,1.0,1.042,1.042
bottleneck_targeted_s101_h30_SUPPORT_OFF,bottleneck_targeted_s101_h30,bottleneck_targeted,101,60,30,SUPPORT_OFF,0.7729,0.7838,1.6076,0.7647,0.782,600.0,28.0,650.0,0.663,0.9793,0.0166,0.35,0.004,60000.0,73333.33333333333,86666.66666666666,113333.33333333333,333333.33,329249.25,1.05,1.0,1.1,1.02,1.0,1.042,1.042
bottleneck_targeted_s101_h90_SUPPORT_ON,bottleneck_targeted_s101_h90,bottleneck_targeted,101,60,90,SUPPORT_ON,0.7969,0.8065,1.653,0.7861,0.8072,600.0,28.0,650.0,0.663,0.8822,0.0951,0.35,0.004,90000.0,110000.0,130000.0,170000.0,500000.0,489831.55,1.05,1.0,1.1,1.02,1.0,1.042,1.042
bottleneck_targeted_s101_h90_SUPPORT_OFF,bottleneck_targeted_s101_h90,bottleneck_targeted,101,60,90,SUPPORT_OFF,0.7065,0.7209,1.4819,0.7053,0.7121,600.0,28.0,650.0,0.663,0.8822,0.0951,0.35,0.004,36000.0,44000.0,52000.0,68000.0,200000.0,195932.62,1.05,1.0,1.1,1.02,1.0,1.042,1.042
bottleneck_targeted_s101_h180_SUPPORT_ON,bottleneck_targeted_s101_h180,bottleneck_targeted,101,60,180,SUPPORT_ON,0.7969,0.8065,1.653,0.7861,0.8072,600.0,28.0,650.0,0.663,0.8489,0.1219,0.35,0.004,90000.0,110000.0,130000.0,170000.0,500000.0,483830.02,1.05,1.0,1.1,1.02,1.0,1.042,1.042
bottleneck_targeted_s101_h180_SUPPORT_OFF,bottleneck_targeted_s101_h180,bottleneck_targeted,101,60,180,SUPPORT_OFF,0.681,0.6968,1.4335,0.6825,0.6853,600.0,28.0,650.0,0.663,0.8489,0.1219,0.35,0.004,22500.0,27500.0,32500.0,42500.0,125000.0,120957.5,1.05,1.0,1.1,1.02,1.0,1.042,1.042
bottleneck_targeted_s102_h7_SUPPORT_ON,bottleneck_targeted_s102_h7,bottleneck_targeted,102,60,7,SUPPORT_ON,0.7893,0.7994,1.6387,0.7794,0.7993,600.0,28.0,650.0,0.663,1.0197,-0.0157,0.35,0.004,90000.0,110000.0,130000.0,170000.0,500000.0,495432.27,1.05,1.0,1.1,1.02,1.0,1.042,1.042
